file,line,current_text,current_interpretation,implementation_supported_interpretation,action,revised_text,affects_claim,notes
fgcs/results/provenance/forecast_horizon_semantics_audit.md,43,All are **1-D** — multi-step vectors are discarded before metrics/recon/peak.,as_written,H=output_width; score lead=1,review,,False,Interpretation B audit
fgcs/results/provenance/forecast_horizon_semantics_audit.md,71,- Intro / RQ2: “horizons” → multi-output-width configurations,as_written,H=output_width; score lead=1,corrected_or_review,,True,Interpretation B audit
fgcs/results/provenance/forecast_horizon_semantics_audit.md,72,- §3: “horizon interpretation” → wall-clock sampling-step interpretation,as_written,H=output_width; score lead=1,corrected_or_review,,True,Interpretation B audit
fgcs/results/provenance/forecast_horizon_semantics_audit.md,73,- §4: define \(H\); state one-step scoring and recon explicitly,as_written,H=output_width; score lead=1,keep,,False,Interpretation B audit
fgcs/results/provenance/forecast_horizon_semantics_audit.md,74,- §5 protocol table: Output widths + Scored lead,as_written,H=output_width; score lead=1,keep,,False,Interpretation B audit
fgcs/results/provenance/forecast_horizon_semantics_audit.md,76,- Tables / supplementary: horizon → output width / \(H\),as_written,H=output_width; score lead=1,keep,,True,Interpretation B audit
fgcs/results/provenance/forecast_horizon_semantics_audit.md,83,| LightGBM independent vs Ridge on CPU | **unchanged** (one-step comparisons) |,as_written,H=output_width; score lead=1,keep,,False,Interpretation B audit
fgcs/results/provenance/forecast_horizon_semantics_audit.md,87,| Memory vs EWMA | **unchanged** numerically; wording “horizon-mean” → “width-mean” |,as_written,H=output_width; score lead=1,corrected_or_review,,True,Interpretation B audit
fgcs/results/provenance/forecast_horizon_semantics_audit.md,91,| “Across forecast horizons / long-horizon robustness” | **narrowed** → across output-width configurations |,as_written,H=output_width; score lead=1,corrected_or_review,,True,Interpretation B audit
fgcs/results/provenance/forecast_horizon_semantics_audit.md,104,Primary CPU/memory/disk reconciliation evidence remains valid as **one-step** hierarchy-aware forecasting under multiple joint prediction widths. The publication GO remains appropriate only after reframing: the paper must not claim multi-le,as_written,H=output_width; score lead=1,keep,,True,Interpretation B audit
fgcs/results/provenance/methodology_revision_audit.md,37,"- \(L=32\), multi-output width \(h\)",as_written,H=output_width; score lead=1,keep,,False,Interpretation B audit
